,model,simulated parameters,fit parameters,simulation,A_RW,A_RW_r,B_RW,B_RW_r
0,RW,"{'A_RW': 0.08, 'B_RW': 3.79}","{'A_RW': 0.1, 'B_RW': 3.4}",17,0.08,0.1,3.79,3.4
0,RW,"{'A_RW': 0.11, 'B_RW': 4.71}","{'A_RW': 0.1, 'B_RW': 4.7}",18,0.11,0.1,4.71,4.7
0,RW,"{'A_RW': 0.53, 'B_RW': 2.47}","{'A_RW': 0.5, 'B_RW': 2.5}",19,0.53,0.5,2.47,2.5
0,RW,"{'A_RW': 0.57, 'B_RW': 4.57}","{'A_RW': 0.5, 'B_RW': 4.6}",20,0.57,0.5,4.57,4.6
0,RW,"{'A_RW': 0.05, 'B_RW': 4.36}","{'A_RW': 0.0, 'B_RW': 4.4}",21,0.05,0.0,4.36,4.4
0,RW,"{'A_RW': 0.65, 'B_RW': 3.05}","{'A_RW': 0.6, 'B_RW': 2.9}",22,0.65,0.6,3.05,2.9
0,RW,"{'A_RW': 0.95, 'B_RW': 2.94}","{'A_RW': 1.0, 'B_RW': 3.1}",23,0.95,1.0,2.94,3.1
0,RW,"{'A_RW': 0.5, 'B_RW': 5.69}","{'A_RW': 0.5, 'B_RW': 6.0}",24,0.5,0.5,5.69,6.0
0,RW,"{'A_RW': 0.04, 'B_RW': 1.1}","{'A_RW': 0.1, 'B_RW': 0.3}",25,0.04,0.1,1.1,0.3
0,RW,"{'A_RW': 0.94, 'B_RW': 0.38}","{'A_RW': 0.5, 'B_RW': 0.6}",26,0.94,0.5,0.38,0.6
0,RW,"{'A_RW': 0.39, 'B_RW': 4.06}","{'A_RW': 0.4, 'B_RW': 4.0}",27,0.39,0.4,4.06,4.0
0,RW,"{'A_RW': 0.2, 'B_RW': 0.72}","{'A_RW': 0.3, 'B_RW': 0.7}",28,0.2,0.3,0.72,0.7
0,RW,"{'A_RW': 0.04, 'B_RW': 3.08}","{'A_RW': 0.1, 'B_RW': 2.7}",29,0.04,0.1,3.08,2.7
0,RW,"{'A_RW': 0.03, 'B_RW': 1.34}","{'A_RW': 0.1, 'B_RW': 0.8}",30,0.03,0.1,1.34,0.8
0,RW,"{'A_RW': 0.97, 'B_RW': 5.61}","{'A_RW': 1.0, 'B_RW': 5.4}",31,0.97,1.0,5.61,5.4
0,RW,"{'A_RW': 0.26, 'B_RW': 0.67}","{'A_RW': 0.6, 'B_RW': 0.0}",32,0.26,0.6,0.67,0.0
0,RW,"{'A_RW': 0.8, 'B_RW': 2.26}","{'A_RW': 0.7, 'B_RW': 2.0}",33,0.8,0.7,2.26,2.0
0,RW,"{'A_RW': 0.45, 'B_RW': 1.99}","{'A_RW': 0.3, 'B_RW': 2.2}",34,0.45,0.3,1.99,2.2
0,RW,"{'A_RW': 0.94, 'B_RW': 2.12}","{'A_RW': 0.8, 'B_RW': 2.0}",35,0.94,0.8,2.12,2.0
0,RW,"{'A_RW': 0.69, 'B_RW': 5.12}","{'A_RW': 0.7, 'B_RW': 6.0}",36,0.69,0.7,5.12,6.0
0,RW,"{'A_RW': 0.98, 'B_RW': 4.92}","{'A_RW': 1.0, 'B_RW': 5.4}",37,0.98,1.0,4.92,5.4
0,RW,"{'A_RW': 0.3, 'B_RW': 4.77}","{'A_RW': 0.3, 'B_RW': 4.6}",38,0.3,0.3,4.77,4.6
0,RW,"{'A_RW': 0.83, 'B_RW': 5.07}","{'A_RW': 0.8, 'B_RW': 6.0}",39,0.83,0.8,5.07,6.0
