,n_locks,simulation,model,model_params,participant,trial,occurrence,symbol,action,time,DISCOUNT,HORIZON,BETA
30,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,30,3,3,0,4.42,0.95,42.19,7.25
31,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,31,8,6,0,4.55,0.95,42.19,7.25
32,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,32,9,6,0,4.69,0.95,42.19,7.25
33,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,33,4,4,0,7.43,0.95,42.19,7.25
34,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,34,4,3,0,4.64,0.95,42.19,7.25
35,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,35,11,5,0,5.86,0.95,42.19,7.25
36,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,36,5,4,0,5.57,0.95,42.19,7.25
37,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,37,10,6,0,4.56,0.95,42.19,7.25
38,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,38,5,3,2,11.85,0.95,42.19,7.25
39,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,39,11,6,0,6.13,0.95,42.19,7.25
40,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,40,12,5,0,5.03,0.95,42.19,7.25
41,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,41,12,6,0,6.22,0.95,42.19,7.25
42,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,42,6,2,0,5.8,0.95,42.19,7.25
43,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,43,6,3,0,5.2,0.95,42.19,7.25
44,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,44,13,5,0,5.13,0.95,42.19,7.25
45,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,45,14,5,0,4.88,0.95,42.19,7.25
46,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,46,7,3,0,4.6,0.95,42.19,7.25
47,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,47,4,1,0,4.04,0.95,42.19,7.25
48,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,48,15,5,0,6.35,0.95,42.19,7.25
49,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,49,8,3,0,3.95,0.95,42.19,7.25
50,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,50,13,6,0,4.34,0.95,42.19,7.25
51,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,51,14,6,0,5.14,0.95,42.19,7.25
52,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,52,1,0,0,6.05,0.95,42.19,7.25
53,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,53,15,6,0,6.11,0.95,42.19,7.25
54,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,54,16,6,0,3.88,0.95,42.19,7.25
55,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,55,6,4,0,5.57,0.95,42.19,7.25
56,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,56,2,0,0,4.29,0.95,42.19,7.25
57,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,57,17,6,0,5.79,0.95,42.19,7.25
58,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,58,18,6,0,4.71,0.95,42.19,7.25
59,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,59,16,5,0,3.66,0.95,42.19,7.25
60,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,60,7,4,0,5.74,0.95,42.19,7.25
61,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,61,7,2,0,3.51,0.95,42.19,7.25
62,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,62,8,4,0,3.9699999999999998,0.95,42.19,7.25
63,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,63,9,3,0,5.05,0.95,42.19,7.25
64,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,64,19,6,0,5.79,0.95,42.19,7.25
65,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,65,9,4,0,7.18,0.95,42.19,7.25
66,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,66,10,4,0,5.7,0.95,42.19,7.25
67,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,67,11,4,0,4.66,0.95,42.19,7.25
68,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,68,10,3,0,3.99,0.95,42.19,7.25
69,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,69,8,2,0,4.9,0.95,42.19,7.25
70,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,70,12,4,0,5.37,0.95,42.19,7.25
71,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,71,20,6,0,5.7,0.95,42.19,7.25
72,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,72,21,6,0,3.96,0.95,42.19,7.25
73,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,73,17,5,0,6.79,0.95,42.19,7.25
74,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,74,11,3,0,5.05,0.95,42.19,7.25
75,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,75,22,6,0,4.26,0.95,42.19,7.25
76,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,76,23,6,0,4.7,0.95,42.19,7.25
77,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,77,9,2,0,6.28,0.95,42.19,7.25
78,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,78,13,4,0,3.35,0.95,42.19,7.25
79,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,79,24,6,0,5.88,0.95,42.19,7.25
80,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,80,14,4,0,4.32,0.95,42.19,7.25
81,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,81,15,4,0,6.22,0.95,42.19,7.25
82,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,82,16,4,0,4.4399999999999995,0.95,42.19,7.25
83,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,83,18,5,0,6.0600000000000005,0.95,42.19,7.25
84,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,84,19,5,0,6.68,0.95,42.19,7.25
85,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,85,10,2,0,4.46,0.95,42.19,7.25
86,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,86,17,4,0,4.72,0.95,42.19,7.25
87,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,87,11,2,0,4.92,0.95,42.19,7.25
88,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,88,12,2,0,5.44,0.95,42.19,7.25
89,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,89,25,6,0,5.53,0.95,42.19,7.25
90,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,90,5,1,0,2.75,0.95,42.19,7.25
91,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,91,26,6,0,5.16,0.95,42.19,7.25
92,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,92,12,3,0,5.77,0.95,42.19,7.25
93,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,93,20,5,0,5.23,0.95,42.19,7.25
94,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,94,6,1,0,4.8,0.95,42.19,7.25
95,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,95,27,6,0,3.79,0.95,42.19,7.25
96,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,96,13,3,0,4.18,0.95,42.19,7.25
97,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,97,28,6,0,4.61,0.95,42.19,7.25
98,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,98,14,3,0,6.1899999999999995,0.95,42.19,7.25
99,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,99,7,1,0,6.08,0.95,42.19,7.25
100,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,100,29,6,0,4.29,0.95,42.19,7.25
101,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,101,18,4,0,4.34,0.95,42.19,7.25
102,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,102,30,6,0,3.87,0.95,42.19,7.25
103,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,103,15,3,0,4.12,0.95,42.19,7.25
104,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,104,31,6,0,5.59,0.95,42.19,7.25
105,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,105,8,1,0,6.04,0.95,42.19,7.25
106,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,106,32,6,0,6.09,0.95,42.19,7.25
107,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,107,19,4,0,6.04,0.95,42.19,7.25
108,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,108,21,5,0,4.28,0.95,42.19,7.25
109,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,109,20,4,0,5.64,0.95,42.19,7.25
110,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,110,21,4,0,5.43,0.95,42.19,7.25
111,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,111,22,5,0,5.22,0.95,42.19,7.25
112,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,112,23,5,0,4.54,0.95,42.19,7.25
113,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,113,22,4,0,3.95,0.95,42.19,7.25
114,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,114,13,2,0,3.6,0.95,42.19,7.25
115,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,115,24,5,0,4.18,0.95,42.19,7.25
116,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,116,14,2,0,5.82,0.95,42.19,7.25
117,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,117,15,2,0,4.94,0.95,42.19,7.25
118,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,118,16,2,0,3.52,0.95,42.19,7.25
119,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,119,25,5,0,4.2,0.95,42.19,7.25
120,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,120,23,4,0,3.7,0.95,42.19,7.25
121,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,121,16,3,0,5.21,0.95,42.19,7.25
122,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,122,17,3,0,4.33,0.95,42.19,7.25
123,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,123,24,4,0,4.3,0.95,42.19,7.25
124,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,124,18,3,0,5.44,0.95,42.19,7.25
125,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,125,33,6,0,5.75,0.95,42.19,7.25
126,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,126,26,5,0,4.34,0.95,42.19,7.25
127,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,127,27,5,0,5.37,0.95,42.19,7.25
128,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,128,28,5,0,6.01,0.95,42.19,7.25
129,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,129,19,3,0,5.44,0.95,42.19,7.25
130,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,130,29,5,0,5.61,0.95,42.19,7.25
131,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,131,30,5,0,5.8100000000000005,0.95,42.19,7.25
132,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,132,3,0,0,5.85,0.95,42.19,7.25
133,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,133,34,6,0,4.4399999999999995,0.95,42.19,7.25
134,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,134,35,6,0,4.23,0.95,42.19,7.25
135,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,135,36,6,0,6.0600000000000005,0.95,42.19,7.25
136,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,136,20,3,0,3.91,0.95,42.19,7.25
137,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,137,37,6,0,5.5,0.95,42.19,7.25
138,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,138,31,5,0,5.04,0.95,42.19,7.25
139,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,139,4,0,0,4.72,0.95,42.19,7.25
140,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,140,32,5,0,4.12,0.95,42.19,7.25
0,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,0,1,6,0,3.71,0.96,123.63,12.11
1,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,1,1,5,0,5.01,0.96,123.63,12.11
2,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,2,2,5,0,4.43,0.96,123.63,12.11
3,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,3,1,3,0,4.61,0.96,123.63,12.11
4,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,4,1,1,0,4.82,0.96,123.63,12.11
5,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,5,2,3,0,5.11,0.96,123.63,12.11
6,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,6,2,6,0,4.52,0.96,123.63,12.11
7,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,7,3,6,0,5.6,0.96,123.63,12.11
8,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,8,3,5,0,5.13,0.96,123.63,12.11
9,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,9,4,5,0,5.49,0.96,123.63,12.11
10,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,10,3,3,0,3.96,0.96,123.63,12.11
11,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,11,4,3,0,5.39,0.96,123.63,12.11
12,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,12,1,4,0,3.54,0.96,123.63,12.11
13,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,13,2,1,0,5.34,0.96,123.63,12.11
14,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,14,2,4,0,6.11,0.96,123.63,12.11
15,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,15,5,5,0,6.47,0.96,123.63,12.11
16,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,16,5,3,0,6.09,0.96,123.63,12.11
17,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,17,1,2,0,5.8,0.96,123.63,12.11
18,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,18,3,4,0,4.24,0.96,123.63,12.11
19,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,19,4,6,0,4.27,0.96,123.63,12.11
20,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,20,5,6,0,4.53,0.96,123.63,12.11
21,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,21,6,6,0,4.65,0.96,123.63,12.11
22,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,22,4,4,0,5.05,0.96,123.63,12.11
23,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,23,2,2,0,6.1899999999999995,0.96,123.63,12.11
24,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,24,7,6,0,6.77,0.96,123.63,12.11
25,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,25,8,6,0,4.98,0.96,123.63,12.11
26,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,26,6,5,0,4.86,0.96,123.63,12.11
27,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,27,6,3,0,4.87,0.96,123.63,12.11
28,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,28,3,2,0,5.64,0.96,123.63,12.11
29,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,29,5,4,0,5.85,0.96,123.63,12.11
30,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,30,6,4,0,4.75,0.96,123.63,12.11
31,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,31,9,6,0,5.42,0.96,123.63,12.11
32,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,32,10,6,0,4.63,0.96,123.63,12.11
33,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,33,7,5,0,5.99,0.96,123.63,12.11
34,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,34,7,4,0,3.87,0.96,123.63,12.11
35,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,35,4,2,0,4.72,0.96,123.63,12.11
36,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,36,8,4,0,5.89,0.96,123.63,12.11
37,4,1,Discount,"{'DISCOUNT': 0.96, 'HORIZON': 123.63, 'BETA': 12.11}",1,37,5,2,0,3.46,0.96,123.63,12.11
