,n_locks,simulation,model,model_params,participant,trial,symbol,action,time,DISCOUNT,HORIZON,BETA,occ
28,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,28,3,0,5.91,0.72,117.26,4.13,20
29,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,29,2,0,6.47,0.72,117.26,4.13,16
30,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,30,6,0,5.58,0.72,117.26,4.13,36
31,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,31,6,0,6.41,0.72,117.26,4.13,36
32,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,32,4,0,5.89,0.72,117.26,4.13,24
33,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,33,0,0,6.59,0.72,117.26,4.13,4
34,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,34,6,2,11.91,0.72,117.26,4.13,36
35,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,35,5,1,2.0300000000000002,0.72,117.26,4.13,32
36,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,36,3,2,12.51,0.72,117.26,4.13,20
37,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,37,2,0,6.49,0.72,117.26,4.13,16
38,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,38,2,0,5.49,0.72,117.26,4.13,16
39,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,39,6,2,12.58,0.72,117.26,4.13,36
40,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,40,6,1,1.6600000000000001,0.72,117.26,4.13,36
41,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,41,5,1,2.71,0.72,117.26,4.13,32
42,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,42,6,1,1.71,0.72,117.26,4.13,36
43,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,43,4,0,5.55,0.72,117.26,4.13,24
44,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,44,3,0,4.9,0.72,117.26,4.13,20
45,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,45,4,0,6.23,0.72,117.26,4.13,24
46,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,46,6,1,1.04,0.72,117.26,4.13,36
47,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,47,3,0,6.01,0.72,117.26,4.13,20
48,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,48,6,1,1.76,0.72,117.26,4.13,36
49,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,49,3,0,5.85,0.72,117.26,4.13,20
50,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,50,0,0,6.11,0.72,117.26,4.13,4
51,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,51,4,0,4.56,0.72,117.26,4.13,24
52,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,52,1,0,5.42,0.72,117.26,4.13,8
53,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,53,2,0,6.58,0.72,117.26,4.13,16
54,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,54,5,1,1.83,0.72,117.26,4.13,32
55,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,55,6,1,2.7199999999999998,0.72,117.26,4.13,36
56,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,56,5,1,2.0,0.72,117.26,4.13,32
57,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,57,4,0,5.68,0.72,117.26,4.13,24
58,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,58,4,2,13.05,0.72,117.26,4.13,24
59,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,59,5,1,1.6600000000000001,0.72,117.26,4.13,32
60,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,60,5,1,2.25,0.72,117.26,4.13,32
61,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,61,5,1,2.0700000000000003,0.72,117.26,4.13,32
62,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,62,6,1,1.77,0.72,117.26,4.13,36
63,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,63,6,1,1.11,0.72,117.26,4.13,36
64,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,64,4,2,12.06,0.72,117.26,4.13,24
65,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,65,6,1,1.69,0.72,117.26,4.13,36
66,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,66,3,0,6.29,0.72,117.26,4.13,20
67,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,67,6,1,2.4699999999999998,0.72,117.26,4.13,36
68,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,68,6,1,2.7,0.72,117.26,4.13,36
69,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,69,6,1,2.41,0.72,117.26,4.13,36
70,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,70,2,0,6.35,0.72,117.26,4.13,16
71,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,71,3,0,6.52,0.72,117.26,4.13,20
72,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,72,3,0,5.22,0.72,117.26,4.13,20
73,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,73,4,0,6.26,0.72,117.26,4.13,24
74,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,74,4,2,11.62,0.72,117.26,4.13,24
75,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,75,5,1,2.1399999999999997,0.72,117.26,4.13,32
76,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,76,6,1,2.16,0.72,117.26,4.13,36
77,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,77,2,0,5.7,0.72,117.26,4.13,16
78,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,78,5,1,1.6800000000000002,0.72,117.26,4.13,32
79,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,79,5,1,1.6800000000000002,0.72,117.26,4.13,32
80,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,80,1,0,5.77,0.72,117.26,4.13,8
81,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,81,1,0,6.23,0.72,117.26,4.13,8
82,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,82,5,1,1.79,0.72,117.26,4.13,32
83,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,83,6,1,1.8900000000000001,0.72,117.26,4.13,36
84,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,84,4,2,12.05,0.72,117.26,4.13,24
85,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,85,6,1,1.5,0.72,117.26,4.13,36
86,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,86,6,1,1.88,0.72,117.26,4.13,36
87,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,87,4,1,2.34,0.72,117.26,4.13,24
88,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,88,0,0,5.89,0.72,117.26,4.13,4
89,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,89,6,1,2.1,0.72,117.26,4.13,36
90,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,90,2,0,5.82,0.72,117.26,4.13,16
91,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,91,1,0,6.8,0.72,117.26,4.13,8
92,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,92,4,1,3.27,0.72,117.26,4.13,24
93,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,93,4,1,2.08,0.72,117.26,4.13,24
94,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,94,0,0,7.0,0.72,117.26,4.13,4
95,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,95,2,0,6.58,0.72,117.26,4.13,16
96,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,96,5,1,2.06,0.72,117.26,4.13,32
97,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,97,6,1,1.51,0.72,117.26,4.13,36
98,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,98,6,1,1.8599999999999999,0.72,117.26,4.13,36
99,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,99,5,1,2.29,0.72,117.26,4.13,32
100,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,100,3,0,5.67,0.72,117.26,4.13,20
101,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,101,5,1,2.7199999999999998,0.72,117.26,4.13,32
102,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,102,5,1,1.22,0.72,117.26,4.13,32
103,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,103,6,1,1.58,0.72,117.26,4.13,36
104,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,104,6,1,1.75,0.72,117.26,4.13,36
105,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,105,6,1,2.17,0.72,117.26,4.13,36
106,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,106,3,0,6.12,0.72,117.26,4.13,20
107,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,107,6,1,1.73,0.72,117.26,4.13,36
108,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,108,2,0,5.15,0.72,117.26,4.13,16
109,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,109,4,1,1.42,0.72,117.26,4.13,24
110,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,110,3,0,6.54,0.72,117.26,4.13,20
111,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,111,5,1,2.01,0.72,117.26,4.13,32
112,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,112,1,0,6.13,0.72,117.26,4.13,8
113,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,113,5,1,2.27,0.72,117.26,4.13,32
114,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,114,5,1,1.77,0.72,117.26,4.13,32
115,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,115,6,1,1.8199999999999998,0.72,117.26,4.13,36
116,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,116,6,1,1.62,0.72,117.26,4.13,36
117,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,117,6,1,2.48,0.72,117.26,4.13,36
118,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,118,5,1,1.9100000000000001,0.72,117.26,4.13,32
119,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,119,3,0,6.87,0.72,117.26,4.13,20
120,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,120,5,1,2.15,0.72,117.26,4.13,32
121,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,121,3,0,6.33,0.72,117.26,4.13,20
122,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,122,4,1,1.63,0.72,117.26,4.13,24
123,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,123,5,1,2.62,0.72,117.26,4.13,32
124,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,124,2,0,5.49,0.72,117.26,4.13,16
125,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,125,6,1,2.5700000000000003,0.72,117.26,4.13,36
126,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,126,3,0,6.55,0.72,117.26,4.13,20
127,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,127,4,1,1.67,0.72,117.26,4.13,24
128,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,128,2,0,5.76,0.72,117.26,4.13,16
129,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,129,6,1,1.74,0.72,117.26,4.13,36
130,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,130,4,1,2.79,0.72,117.26,4.13,24
131,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,131,4,1,2.02,0.72,117.26,4.13,24
132,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,132,6,1,2.05,0.72,117.26,4.13,36
133,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,133,4,1,2.16,0.72,117.26,4.13,24
134,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,134,2,0,4.96,0.72,117.26,4.13,16
135,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,135,3,0,5.53,0.72,117.26,4.13,20
136,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,136,3,0,5.77,0.72,117.26,4.13,20
137,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,137,2,0,6.68,0.72,117.26,4.13,16
138,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,138,5,1,1.43,0.72,117.26,4.13,32
139,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,139,6,1,1.55,0.72,117.26,4.13,36
140,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,140,5,1,2.6100000000000003,0.72,117.26,4.13,32
0,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,0,6,2,11.42,0.97,102.89,14.36,36
1,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,1,4,0,5.62,0.97,102.89,14.36,24
2,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,2,4,0,6.15,0.97,102.89,14.36,24
3,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,3,2,0,6.43,0.97,102.89,14.36,16
4,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,4,2,0,6.05,0.97,102.89,14.36,16
5,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,5,3,0,6.48,0.97,102.89,14.36,20
6,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,6,3,0,5.49,0.97,102.89,14.36,20
7,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,7,2,0,5.84,0.97,102.89,14.36,16
8,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,8,2,0,6.34,0.97,102.89,14.36,16
9,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,9,6,2,12.129999999999999,0.97,102.89,14.36,36
10,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,10,5,0,5.6,0.97,102.89,14.36,32
11,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,11,3,0,6.34,0.97,102.89,14.36,20
12,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,12,4,0,5.96,0.97,102.89,14.36,24
13,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,13,5,0,6.5600000000000005,0.97,102.89,14.36,32
14,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,14,4,0,5.74,0.97,102.89,14.36,24
15,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,15,5,0,6.12,0.97,102.89,14.36,32
16,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,16,5,2,12.99,0.97,102.89,14.36,32
17,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,17,4,0,5.63,0.97,102.89,14.36,24
18,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,18,4,0,6.11,0.97,102.89,14.36,24
19,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,19,6,2,12.51,0.97,102.89,14.36,36
20,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,20,6,2,11.21,0.97,102.89,14.36,36
21,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,21,6,1,3.06,0.97,102.89,14.36,36
22,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,22,3,0,6.24,0.97,102.89,14.36,20
23,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,23,2,0,6.46,0.97,102.89,14.36,16
24,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,24,4,0,5.24,0.97,102.89,14.36,24
25,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,25,6,1,0.98,0.97,102.89,14.36,36
26,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,26,5,2,12.93,0.97,102.89,14.36,32
27,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,27,4,0,6.88,0.97,102.89,14.36,24
28,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,28,6,1,1.62,0.97,102.89,14.36,36
29,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,29,6,1,1.87,0.97,102.89,14.36,36
30,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,30,1,0,5.45,0.97,102.89,14.36,8
31,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,31,1,0,6.98,0.97,102.89,14.36,8
32,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,32,6,1,1.42,0.97,102.89,14.36,36
33,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,33,5,2,12.4,0.97,102.89,14.36,32
34,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,34,6,1,2.2,0.97,102.89,14.36,36
35,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,35,3,0,5.46,0.97,102.89,14.36,20
36,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,36,4,0,6.32,0.97,102.89,14.36,24
37,4,1,Discount,"{'DISCOUNT': 0.97, 'HORIZON': 102.89, 'BETA': 14.36}",1,37,4,0,6.28,0.97,102.89,14.36,24
