,n_locks,simulation,model,participant,trial,symbol,action,time
18,4,1,Discount,1,18,6,0,1.67
19,4,1,Discount,1,19,0,0,1.53
20,4,1,Discount,1,20,0,0,1.87
21,4,1,Discount,1,21,7,0,1.94
22,4,1,Discount,1,22,0,0,2.44
23,4,1,Discount,1,23,0,0,1.7
24,4,1,Discount,1,24,2,0,2.49
25,4,1,Discount,1,25,5,0,0.5700000000000001
26,4,1,Discount,1,26,1,0,3.44
27,4,1,Discount,1,27,4,0,2.0300000000000002
28,4,1,Discount,1,28,3,0,2.6399999999999997
29,4,1,Discount,1,29,6,0,1.56
30,4,1,Discount,1,30,3,0,2.0300000000000002
31,4,1,Discount,1,31,1,0,2.13
32,4,1,Discount,1,32,2,0,1.52
33,4,1,Discount,1,33,2,0,1.8199999999999998
34,4,1,Discount,1,34,1,0,1.95
35,4,1,Discount,1,35,1,0,2.06
36,4,1,Discount,1,36,4,0,1.65
37,4,1,Discount,1,37,4,0,2.21
38,4,1,Discount,1,38,0,0,2.3600000000000003
39,4,1,Discount,1,39,1,0,1.74
40,4,1,Discount,1,40,5,0,2.02
41,4,1,Discount,1,41,1,0,1.02
42,4,1,Discount,1,42,4,0,2.16
43,4,1,Discount,1,43,3,0,1.5699999999999998
44,4,1,Discount,1,44,3,0,1.56
45,4,1,Discount,1,45,1,0,2.46
46,4,1,Discount,1,46,3,0,2.05
47,4,1,Discount,1,47,2,0,2.38
48,4,1,Discount,1,48,6,0,2.52
49,4,1,Discount,1,49,5,0,1.8399999999999999
50,4,1,Discount,1,50,0,0,1.5
51,4,1,Discount,1,51,0,0,1.32
52,4,1,Discount,1,52,2,0,1.83
53,4,1,Discount,1,53,3,0,2.51
54,4,1,Discount,1,54,0,0,2.41
55,4,1,Discount,1,55,6,0,2.0700000000000003
56,4,1,Discount,1,56,4,0,2.0
57,4,1,Discount,1,57,2,0,2.3600000000000003
58,4,1,Discount,1,58,5,0,1.3599999999999999
59,4,1,Discount,1,59,0,0,1.94
60,4,1,Discount,1,60,0,0,2.06
61,4,1,Discount,1,61,2,0,1.9
62,4,1,Discount,1,62,7,0,0.97
63,4,1,Discount,1,63,7,0,1.87
64,4,1,Discount,1,64,6,0,1.7
0,4,1,Discount,2,0,7,0,1.63
1,4,1,Discount,2,1,0,0,1.81
2,4,1,Discount,2,2,4,0,2.06
3,4,1,Discount,2,3,2,0,2.37
4,4,1,Discount,2,4,4,0,2.16
5,4,1,Discount,2,5,1,0,1.56
6,4,1,Discount,2,6,0,0,1.71
7,4,1,Discount,2,7,1,0,1.71
8,4,1,Discount,2,8,7,0,2.15
9,4,1,Discount,2,9,2,0,2.1399999999999997
10,4,1,Discount,2,10,2,0,2.33
11,4,1,Discount,2,11,0,0,3.01
12,4,1,Discount,2,12,6,0,0.5900000000000001
13,4,1,Discount,2,13,1,0,1.9
14,4,1,Discount,2,14,5,0,1.48
15,4,1,Discount,2,15,1,0,2.87
16,4,1,Discount,2,16,7,0,2.08
17,4,1,Discount,2,17,2,0,1.8399999999999999
18,4,1,Discount,2,18,5,0,1.72
19,4,1,Discount,2,19,1,0,0.95
20,4,1,Discount,2,20,5,0,1.3
21,4,1,Discount,2,21,4,0,1.35
22,4,1,Discount,2,22,6,0,2.9699999999999998
23,4,1,Discount,2,23,3,0,1.8199999999999998
24,4,1,Discount,2,24,3,0,2.21
25,4,1,Discount,2,25,0,0,2.2199999999999998
26,4,1,Discount,2,26,0,0,0.8
27,4,1,Discount,2,27,0,0,2.21
28,4,1,Discount,2,28,6,0,2.5700000000000003
29,4,1,Discount,2,29,4,0,2.75
30,4,1,Discount,2,30,2,0,1.8900000000000001
31,4,1,Discount,2,31,3,0,1.94
32,4,1,Discount,2,32,3,0,0.77
33,4,1,Discount,2,33,0,0,2.5700000000000003
34,4,1,Discount,2,34,5,0,1.8599999999999999
35,4,1,Discount,2,35,1,0,2.4699999999999998
36,4,1,Discount,2,36,1,0,2.34
37,4,1,Discount,2,37,0,0,2.2199999999999998
38,4,1,Discount,2,38,2,0,1.29
39,4,1,Discount,2,39,3,0,2.2800000000000002
40,4,1,Discount,2,40,3,0,1.5699999999999998
41,4,1,Discount,2,41,0,0,1.8599999999999999
42,4,1,Discount,2,42,1,0,2.16
43,4,1,Discount,2,43,0,0,1.3900000000000001
44,4,1,Discount,2,44,5,0,2.45
45,4,1,Discount,2,45,0,0,2.3600000000000003
46,4,1,Discount,2,46,2,0,1.79
47,4,1,Discount,2,47,5,0,2.73
48,4,1,Discount,2,48,3,0,2.37
49,4,1,Discount,2,49,4,0,2.04
50,4,1,Discount,2,50,4,0,2.75
51,4,1,Discount,2,51,0,0,1.54
52,4,1,Discount,2,52,1,0,3.1
53,4,1,Discount,2,53,3,0,1.46
54,4,1,Discount,2,54,2,0,1.78
55,4,1,Discount,2,55,1,0,1.74
56,4,1,Discount,2,56,4,0,1.37
57,4,1,Discount,2,57,7,0,2.34
58,4,1,Discount,2,58,7,0,1.8900000000000001
59,4,1,Discount,2,59,2,0,2.06
60,4,1,Discount,2,60,2,0,1.97
61,4,1,Discount,2,61,4,0,2.3600000000000003
62,4,1,Discount,2,62,6,0,2.51
63,4,1,Discount,2,63,6,0,1.51
64,4,1,Discount,2,64,6,0,1.45
0,4,1,Discount,3,0,7,0,1.6099999999999999
1,4,1,Discount,3,1,0,0,1.94
2,4,1,Discount,3,2,5,0,2.48
3,4,1,Discount,3,3,3,0,2.05
4,4,1,Discount,3,4,1,0,1.02
5,4,1,Discount,3,5,1,0,2.41
6,4,1,Discount,3,6,0,0,2.01
7,4,1,Discount,3,7,0,0,1.81
8,4,1,Discount,3,8,4,0,2.5300000000000002
9,4,1,Discount,3,9,0,0,1.11
10,4,1,Discount,3,10,2,0,2.45
11,4,1,Discount,3,11,0,0,1.67
12,4,1,Discount,3,12,4,0,1.52
13,4,1,Discount,3,13,6,0,1.11
14,4,1,Discount,3,14,0,0,2.41
15,4,1,Discount,3,15,4,0,1.65
16,4,1,Discount,3,16,1,0,2.19
17,4,1,Discount,3,17,1,0,2.23
18,4,1,Discount,3,18,2,0,2.5300000000000002
19,4,1,Discount,3,19,7,0,1.96
20,4,1,Discount,3,20,2,0,1.51
21,4,1,Discount,3,21,2,0,1.97
22,4,1,Discount,3,22,3,0,2.5
23,4,1,Discount,3,23,5,0,2.76
24,4,1,Discount,3,24,6,0,1.9
25,4,1,Discount,3,25,4,0,2.85
26,4,1,Discount,3,26,1,0,1.58
27,4,1,Discount,3,27,3,0,2.09
28,4,1,Discount,3,28,7,0,2.16
29,4,1,Discount,3,29,3,0,1.56
30,4,1,Discount,3,30,6,0,1.69
31,4,1,Discount,3,31,5,0,2.0
32,4,1,Discount,3,32,2,0,1.78
33,4,1,Discount,3,33,3,0,1.96
34,4,1,Discount,3,34,0,0,1.73
35,4,1,Discount,3,35,3,0,1.69
36,4,1,Discount,3,36,2,0,1.65
37,4,1,Discount,3,37,4,0,2.01
38,4,1,Discount,3,38,6,0,1.37
39,4,1,Discount,3,39,4,0,1.67
40,4,1,Discount,3,40,2,0,1.8399999999999999
41,4,1,Discount,3,41,0,0,2.23
42,4,1,Discount,3,42,5,0,1.96
43,4,1,Discount,3,43,2,0,1.8199999999999998
44,4,1,Discount,3,44,7,0,1.58
45,4,1,Discount,3,45,6,0,2.2800000000000002
46,4,1,Discount,3,46,5,0,2.42
47,4,1,Discount,3,47,1,0,1.8399999999999999
48,4,1,Discount,3,48,1,0,1.8399999999999999
49,4,1,Discount,3,49,1,0,2.52
50,4,1,Discount,3,50,0,0,1.83
51,4,1,Discount,3,51,4,0,3.05
52,4,1,Discount,3,52,2,0,2.04
53,4,1,Discount,3,53,3,0,2.15
54,4,1,Discount,3,54,0,0,1.8199999999999998
55,4,1,Discount,3,55,7,0,1.07
56,4,1,Discount,3,56,2,0,2.02
57,4,1,Discount,3,57,4,0,2.2800000000000002
58,4,1,Discount,3,58,0,0,1.62
59,4,1,Discount,3,59,5,0,3.17
60,4,1,Discount,3,60,0,0,1.44
61,4,1,Discount,3,61,1,0,2.02
62,4,1,Discount,3,62,1,0,2.7800000000000002
63,4,1,Discount,3,63,6,0,1.8199999999999998
64,4,1,Discount,3,64,3,0,2.25
0,4,1,Discount,4,0,7,0,2.59
1,4,1,Discount,4,1,4,0,2.1100000000000003
2,4,1,Discount,4,2,3,0,2.76
3,4,1,Discount,4,3,1,0,1.07
4,4,1,Discount,4,4,3,0,2.44
5,4,1,Discount,4,5,5,0,2.19
6,4,1,Discount,4,6,0,0,2.24
7,4,1,Discount,4,7,4,0,1.3900000000000001
8,4,1,Discount,4,8,0,0,1.96
9,4,1,Discount,4,9,7,0,1.08
10,4,1,Discount,4,10,2,0,1.9
11,4,1,Discount,4,11,2,0,1.88
12,4,1,Discount,4,12,1,0,1.5899999999999999
13,4,1,Discount,4,13,0,0,2.04
14,4,1,Discount,4,14,1,0,2.59
15,4,1,Discount,4,15,0,0,0.84
16,4,1,Discount,4,16,0,0,1.67
17,4,1,Discount,4,17,5,0,1.2
18,4,1,Discount,4,18,0,0,1.8399999999999999
19,4,1,Discount,4,19,2,0,1.9300000000000002
20,4,1,Discount,4,20,7,0,1.12
21,4,1,Discount,4,21,6,0,1.18
22,4,1,Discount,4,22,2,0,1.85
23,4,1,Discount,4,23,2,0,1.49
24,4,1,Discount,4,24,5,0,2.09
25,4,1,Discount,4,25,1,0,2.19
26,4,1,Discount,4,26,3,0,2.1399999999999997
27,4,1,Discount,4,27,4,0,2.05
28,4,1,Discount,4,28,3,0,2.3200000000000003
29,4,1,Discount,4,29,4,0,1.55
30,4,1,Discount,4,30,1,2,10.129999999999999
31,4,1,Discount,4,31,6,0,2.49
32,4,1,Discount,4,32,6,0,1.41
33,4,1,Discount,4,33,6,0,2.1
34,4,1,Discount,4,34,7,0,1.72
35,4,1,Discount,4,35,3,0,2.04
36,4,1,Discount,4,36,3,0,2.3200000000000003
37,4,1,Discount,4,37,7,0,2.8200000000000003
38,4,1,Discount,4,38,4,0,2.71
39,4,1,Discount,4,39,2,0,1.95
40,4,1,Discount,4,40,4,0,1.8900000000000001
41,4,1,Discount,4,41,5,0,2.3200000000000003
42,4,1,Discount,4,42,5,0,1.55
43,4,1,Discount,4,43,1,0,1.9
44,4,1,Discount,4,44,6,0,2.37
45,4,1,Discount,4,45,1,0,1.7
46,4,1,Discount,4,46,4,0,1.97
47,4,1,Discount,4,47,0,0,2.04
48,4,1,Discount,4,48,5,0,2.75
49,4,1,Discount,4,49,0,0,2.3600000000000003
50,4,1,Discount,4,50,0,0,1.9
51,4,1,Discount,4,51,4,0,2.21
52,4,1,Discount,4,52,2,0,2.09
53,4,1,Discount,4,53,2,0,2.08
54,4,1,Discount,4,54,1,0,2.1399999999999997
55,4,1,Discount,4,55,3,0,2.16
56,4,1,Discount,4,56,1,0,2.45
57,4,1,Discount,4,57,3,0,2.41
58,4,1,Discount,4,58,2,0,2.1100000000000003
59,4,1,Discount,4,59,0,0,1.87
60,4,1,Discount,4,60,2,0,2.41
61,4,1,Discount,4,61,6,0,2.3
62,4,1,Discount,4,62,0,0,2.29
63,4,1,Discount,4,63,0,0,2.0300000000000002
64,4,1,Discount,4,64,1,0,2.38
0,4,1,Discount,5,0,7,0,2.2199999999999998
1,4,1,Discount,5,1,2,0,0.97
2,4,1,Discount,5,2,3,0,1.65
3,4,1,Discount,5,3,7,0,2.09
4,4,1,Discount,5,4,3,0,2.09
5,4,1,Discount,5,5,7,0,2.06
6,4,1,Discount,5,6,3,0,1.6
7,4,1,Discount,5,7,0,0,2.3200000000000003
8,4,1,Discount,5,8,6,0,2.23
9,4,1,Discount,5,9,1,0,1.6099999999999999
10,4,1,Discount,5,10,2,0,1.67
11,4,1,Discount,5,11,5,0,2.0
12,4,1,Discount,5,12,2,0,2.1399999999999997
13,4,1,Discount,5,13,0,0,2.3
14,4,1,Discount,5,14,0,0,1.9
15,4,1,Discount,5,15,6,0,2.71
16,4,1,Discount,5,16,5,0,1.75
17,4,1,Discount,5,17,4,0,1.94
18,4,1,Discount,5,18,0,0,2.5
19,4,1,Discount,5,19,0,0,2.3200000000000003
20,4,1,Discount,5,20,1,0,2.17
21,4,1,Discount,5,21,3,0,1.26
22,4,1,Discount,5,22,1,0,1.63
23,4,1,Discount,5,23,2,0,2.37
24,4,1,Discount,5,24,2,0,2.58
25,4,1,Discount,5,25,4,0,2.12
26,4,1,Discount,5,26,4,0,1.35
27,4,1,Discount,5,27,0,0,1.6400000000000001
28,4,1,Discount,5,28,5,0,1.37
29,4,1,Discount,5,29,6,0,2.46
30,4,1,Discount,5,30,4,0,2.83
31,4,1,Discount,5,31,1,0,1.53
32,4,1,Discount,5,32,1,0,2.56
33,4,1,Discount,5,33,4,0,0.87
34,4,1,Discount,5,34,2,0,1.8399999999999999
35,4,1,Discount,5,35,5,0,2.09
36,4,1,Discount,5,36,1,0,1.41
37,4,1,Discount,5,37,6,0,2.13
38,4,1,Discount,5,38,4,0,1.52
39,4,1,Discount,5,39,2,0,2.16
40,4,1,Discount,5,40,1,0,2.41
41,4,1,Discount,5,41,0,0,2.33
42,4,1,Discount,5,42,4,0,2.7
43,4,1,Discount,5,43,5,0,2.3600000000000003
44,4,1,Discount,5,44,6,0,2.59
45,4,1,Discount,5,45,3,0,2.13
46,4,1,Discount,5,46,7,0,1.34
47,4,1,Discount,5,47,7,0,1.58
48,4,1,Discount,5,48,5,0,2.66
49,4,1,Discount,5,49,6,0,1.42
50,4,1,Discount,5,50,0,0,2.7199999999999998
51,4,1,Discount,5,51,4,0,2.41
52,4,1,Discount,5,52,3,0,1.51
53,4,1,Discount,5,53,2,0,3.04
54,4,1,Discount,5,54,0,0,1.53
55,4,1,Discount,5,55,3,0,1.26
56,4,1,Discount,5,56,0,0,1.54
57,4,1,Discount,5,57,1,0,1.72
58,4,1,Discount,5,58,0,0,1.6600000000000001
59,4,1,Discount,5,59,3,0,1.67
60,4,1,Discount,5,60,2,0,2.09
61,4,1,Discount,5,61,2,0,1.31
62,4,1,Discount,5,62,0,0,2.77
63,4,1,Discount,5,63,1,0,1.63
64,4,1,Discount,5,64,1,0,0.85
0,4,1,Discount,6,0,7,0,2.42
1,4,1,Discount,6,1,0,0,1.62
2,4,1,Discount,6,2,0,0,2.1
3,4,1,Discount,6,3,4,0,2.21
4,4,1,Discount,6,4,4,0,0.97
5,4,1,Discount,6,5,4,0,2.24
6,4,1,Discount,6,6,6,0,1.56
7,4,1,Discount,6,7,2,0,1.8199999999999998
8,4,1,Discount,6,8,3,0,2.35
9,4,1,Discount,6,9,7,0,2.19
10,4,1,Discount,6,10,1,0,1.3
11,4,1,Discount,6,11,0,0,2.84
12,4,1,Discount,6,12,7,0,2.7199999999999998
13,4,1,Discount,6,13,0,0,2.06
14,4,1,Discount,6,14,3,0,1.8399999999999999
15,4,1,Discount,6,15,5,0,1.8399999999999999
16,4,1,Discount,6,16,1,0,2.2199999999999998
17,4,1,Discount,6,17,5,0,2.1399999999999997
18,4,1,Discount,6,18,6,0,1.45
19,4,1,Discount,6,19,4,0,1.4
20,4,1,Discount,6,20,1,0,1.4
21,4,1,Discount,6,21,1,0,1.77
22,4,1,Discount,6,22,2,0,1.9300000000000002
23,4,1,Discount,6,23,0,0,2.19
24,4,1,Discount,6,24,2,0,2.41
25,4,1,Discount,6,25,6,0,1.6099999999999999
26,4,1,Discount,6,26,2,0,1.5699999999999998
27,4,1,Discount,6,27,1,0,2.1799999999999997
28,4,1,Discount,6,28,2,0,2.13
29,4,1,Discount,6,29,3,0,1.83
30,4,1,Discount,6,30,0,0,1.78
31,4,1,Discount,6,31,5,0,2.21
32,4,1,Discount,6,32,3,0,1.33
33,4,1,Discount,6,33,5,2,9.51
34,4,1,Discount,6,34,0,0,1.67
35,4,1,Discount,6,35,0,0,0.39
36,4,1,Discount,6,36,3,0,2.24
37,4,1,Discount,6,37,0,0,2.2199999999999998
38,4,1,Discount,6,38,0,0,2.02
39,4,1,Discount,6,39,1,0,2.01
40,4,1,Discount,6,40,1,0,1.88
41,4,1,Discount,6,41,3,0,1.26
42,4,1,Discount,6,42,4,0,2.8200000000000003
43,4,1,Discount,6,43,0,0,2.5700000000000003
44,4,1,Discount,6,44,6,0,2.05
45,4,1,Discount,6,45,2,0,2.1399999999999997
46,4,1,Discount,6,46,4,0,2.9
47,4,1,Discount,6,47,0,0,2.6399999999999997
48,4,1,Discount,6,48,7,0,2.81
49,4,1,Discount,6,49,1,0,1.38
50,4,1,Discount,6,50,5,0,2.65
51,4,1,Discount,6,51,4,0,1.5699999999999998
52,4,1,Discount,6,52,3,0,2.02
53,4,1,Discount,6,53,1,0,1.65
54,4,1,Discount,6,54,1,0,2.06
55,4,1,Discount,6,55,2,0,2.38
56,4,1,Discount,6,56,2,0,2.02
57,4,1,Discount,6,57,6,0,1.05
58,4,1,Discount,6,58,2,0,2.6100000000000003
59,4,1,Discount,6,59,2,0,1.53
60,4,1,Discount,6,60,3,0,2.0300000000000002
61,4,1,Discount,6,61,5,0,2.09
62,4,1,Discount,6,62,4,0,2.0
63,4,1,Discount,6,63,7,0,2.2800000000000002
64,4,1,Discount,6,64,6,2,9.98
0,4,1,Discount,7,0,7,0,1.8
1,4,1,Discount,7,1,4,0,2.44
2,4,1,Discount,7,2,7,0,1.22
3,4,1,Discount,7,3,7,0,1.28
4,4,1,Discount,7,4,5,0,1.6800000000000002
5,4,1,Discount,7,5,0,0,2.1399999999999997
6,4,1,Discount,7,6,1,0,2.5300000000000002
7,4,1,Discount,7,7,6,0,2.16
8,4,1,Discount,7,8,1,0,2.09
9,4,1,Discount,7,9,6,0,0.6799999999999999
10,4,1,Discount,7,10,0,0,2.2800000000000002
11,4,1,Discount,7,11,1,0,2.1799999999999997
12,4,1,Discount,7,12,3,0,1.48
13,4,1,Discount,7,13,2,0,2.33
14,4,1,Discount,7,14,0,0,2.51
15,4,1,Discount,7,15,2,0,3.09
16,4,1,Discount,7,16,2,0,0.85
17,4,1,Discount,7,17,1,0,1.72
18,4,1,Discount,7,18,5,0,2.09
19,4,1,Discount,7,19,2,0,2.0
20,4,1,Discount,7,20,0,0,2.2
21,4,1,Discount,7,21,3,0,2.5
22,4,1,Discount,7,22,3,0,1.8199999999999998
23,4,1,Discount,7,23,1,0,1.74
24,4,1,Discount,7,24,4,0,1.74
25,4,1,Discount,7,25,5,0,1.48
26,4,1,Discount,7,26,4,0,2.21
27,4,1,Discount,7,27,2,0,2.3600000000000003
28,4,1,Discount,7,28,0,0,2.1799999999999997
29,4,1,Discount,7,29,6,0,2.1399999999999997
30,4,1,Discount,7,30,0,0,2.7800000000000002
31,4,1,Discount,7,31,4,0,2.21
32,4,1,Discount,7,32,3,0,2.2199999999999998
33,4,1,Discount,7,33,0,0,2.7
34,4,1,Discount,7,34,0,0,1.78
35,4,1,Discount,7,35,2,0,2.51
36,4,1,Discount,7,36,2,0,0.5900000000000001
37,4,1,Discount,7,37,3,0,2.3600000000000003
38,4,1,Discount,7,38,0,0,1.79
39,4,1,Discount,7,39,6,0,2.31
40,4,1,Discount,7,40,2,0,3.13
41,4,1,Discount,7,41,1,0,1.3900000000000001
42,4,1,Discount,7,42,4,0,0.83
43,4,1,Discount,7,43,4,0,2.0300000000000002
44,4,1,Discount,7,44,0,0,2.3899999999999997
45,4,1,Discount,7,45,3,0,1.8399999999999999
46,4,1,Discount,7,46,2,0,2.65
47,4,1,Discount,7,47,1,0,1.72
48,4,1,Discount,7,48,3,0,2.5700000000000003
49,4,1,Discount,7,49,1,0,0.94
50,4,1,Discount,7,50,1,0,1.8599999999999999
51,4,1,Discount,7,51,5,0,1.4
52,4,1,Discount,7,52,6,0,2.51
53,4,1,Discount,7,53,2,0,1.83
54,4,1,Discount,7,54,7,0,1.8399999999999999
55,4,1,Discount,7,55,0,0,1.75
56,4,1,Discount,7,56,1,0,2.59
57,4,1,Discount,7,57,0,0,2.4299999999999997
58,4,1,Discount,7,58,6,0,1.98
59,4,1,Discount,7,59,4,0,2.85
60,4,1,Discount,7,60,4,0,1.76
61,4,1,Discount,7,61,7,0,2.4699999999999998
62,4,1,Discount,7,62,5,0,1.56
63,4,1,Discount,7,63,3,0,1.71
64,4,1,Discount,7,64,5,0,2.63
0,4,1,Discount,8,0,7,0,1.99
1,4,1,Discount,8,1,2,0,2.45
2,4,1,Discount,8,2,5,0,1.92
3,4,1,Discount,8,3,3,0,1.92
4,4,1,Discount,8,4,6,0,2.41
5,4,1,Discount,8,5,3,0,1.6
6,4,1,Discount,8,6,4,0,2.2800000000000002
7,4,1,Discount,8,7,3,0,2.0
8,4,1,Discount,8,8,3,0,1.7
9,4,1,Discount,8,9,2,0,1.79
10,4,1,Discount,8,10,1,0,2.0300000000000002
11,4,1,Discount,8,11,6,0,2.46
12,4,1,Discount,8,12,4,0,1.29
13,4,1,Discount,8,13,0,0,2.51
14,4,1,Discount,8,14,7,0,2.13
15,4,1,Discount,8,15,0,0,2.09
16,4,1,Discount,8,16,4,0,1.5
17,4,1,Discount,8,17,0,0,1.6099999999999999
18,4,1,Discount,8,18,0,0,2.67
19,4,1,Discount,8,19,6,0,1.62
20,4,1,Discount,8,20,2,0,1.55
21,4,1,Discount,8,21,0,0,2.2
22,4,1,Discount,8,22,0,2,9.74
23,4,1,Discount,8,23,1,0,1.73
24,4,1,Discount,8,24,7,0,1.63
25,4,1,Discount,8,25,1,0,1.8399999999999999
26,4,1,Discount,8,26,5,0,2.7199999999999998
27,4,1,Discount,8,27,2,0,2.24
28,4,1,Discount,8,28,4,0,1.8900000000000001
29,4,1,Discount,8,29,1,0,2.41
30,4,1,Discount,8,30,2,0,1.52
31,4,1,Discount,8,31,5,2,9.99
32,4,1,Discount,8,32,1,0,1.94
33,4,1,Discount,8,33,2,0,2.1100000000000003
34,4,1,Discount,8,34,0,0,1.47
35,4,1,Discount,8,35,5,0,1.46
36,4,1,Discount,8,36,0,0,2.52
37,4,1,Discount,8,37,1,0,3.03
38,4,1,Discount,8,38,1,0,1.6800000000000002
39,4,1,Discount,8,39,3,0,1.58
40,4,1,Discount,8,40,5,0,1.83
41,4,1,Discount,8,41,1,0,1.31
42,4,1,Discount,8,42,3,0,1.45
43,4,1,Discount,8,43,2,0,1.18
44,4,1,Discount,8,44,6,0,1.8199999999999998
45,4,1,Discount,8,45,4,0,2.98
46,4,1,Discount,8,46,5,0,1.75
47,4,1,Discount,8,47,0,0,1.9
48,4,1,Discount,8,48,3,2,11.58
49,4,1,Discount,8,49,0,0,1.9100000000000001
50,4,1,Discount,8,50,7,0,2.31
51,4,1,Discount,8,51,1,0,2.67
52,4,1,Discount,8,52,3,0,1.8
53,4,1,Discount,8,53,4,0,1.45
54,4,1,Discount,8,54,2,0,1.6600000000000001
55,4,1,Discount,8,55,4,0,1.54
56,4,1,Discount,8,56,6,0,2.37
57,4,1,Discount,8,57,6,0,2.3
58,4,1,Discount,8,58,0,0,1.8399999999999999
59,4,1,Discount,8,59,7,0,2.06
60,4,1,Discount,8,60,4,0,2.7
61,4,1,Discount,8,61,2,0,1.46
62,4,1,Discount,8,62,0,0,1.87
63,4,1,Discount,8,63,2,0,2.15
64,4,1,Discount,8,64,1,0,2.31
0,4,1,Discount,9,0,7,0,1.8
1,4,1,Discount,9,1,1,0,2.85
2,4,1,Discount,9,2,2,0,1.31
3,4,1,Discount,9,3,6,0,2.54
4,4,1,Discount,9,4,4,0,1.85
5,4,1,Discount,9,5,6,0,1.29
6,4,1,Discount,9,6,2,0,2.0300000000000002
7,4,1,Discount,9,7,2,0,1.6800000000000002
8,4,1,Discount,9,8,1,0,2.27
9,4,1,Discount,9,9,5,0,2.38
10,4,1,Discount,9,10,2,0,1.8399999999999999
11,4,1,Discount,9,11,0,0,2.13
12,4,1,Discount,9,12,4,0,1.8900000000000001
13,4,1,Discount,9,13,3,0,2.17
14,4,1,Discount,9,14,0,0,1.33
15,4,1,Discount,9,15,7,0,1.71
