,participant,model,k,parameter names,parameter values,log likelihood,BIC
24,7,no discount,1,"HORIZON,BETA",{'BETA': 0.18},-72.1,249.2
25,7,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.45, 'BETA': 0.0}",-72.8,355.6
26,7,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.21, 'BETA': 0.0}",-72.8,355.6
27,7,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.43, 'BETA': 0.0, 'GAMMA': 0.3}",-72.8,460.6
28,8,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-70.7,246.4
29,8,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.18, 'BETA': 0.0}",-70.7,351.4
30,8,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.34, 'BETA': 0.0}",-70.7,351.4
31,8,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.02, 'BETA': 0.0, 'GAMMA': 0.53}",-70.7,456.4
32,9,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-70.7,246.4
33,9,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.01, 'BETA': 0.0}",-70.7,351.4
34,9,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.03, 'BETA': 0.0}",-70.7,351.4
35,9,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.16, 'BETA': 0.0, 'GAMMA': 0.6}",-70.7,456.4
36,10,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
37,10,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.07, 'BETA': 2.0}",-43.8,297.6
38,10,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.24, 'BETA': 2.0}",-50.8,311.6
39,10,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.93, 'BETA': 2.0, 'GAMMA': 1.0}",-43.8,402.6
40,11,no discount,1,"HORIZON,BETA",{'BETA': 0.28},-71.9,248.8
41,11,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.09, 'BETA': 2.0}",-20.2,250.4
42,11,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.26, 'BETA': 2.0}",-26.1,262.2
43,11,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.92, 'BETA': 2.0, 'GAMMA': 1.0}",-20.2,355.4
44,12,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
45,12,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.5, 'BETA': 0.05}",-72.8,355.6
46,12,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.5, 'BETA': 0.0}",-72.8,355.6
47,12,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.07, 'BETA': 0.24, 'GAMMA': 1.0}",-72.7,460.4
48,13,no discount,1,"HORIZON,BETA",{'BETA': 0.43},-69.2,243.4
49,13,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 0.43}",-69.2,348.4
50,13,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 0.43}",-69.2,348.4
51,13,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 1.0, 'BETA': 0.43, 'GAMMA': 1.0}",-69.2,453.4
52,14,no discount,1,"HORIZON,BETA",{'BETA': 0.11},-71.1,247.2
53,14,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.16, 'BETA': 0.47}",-61.5,333.0
54,14,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.41, 'BETA': 0.47}",-63.0,336.0
55,14,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.86, 'BETA': 0.47, 'GAMMA': 1.0}",-61.5,438.0
56,15,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
57,15,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.46, 'BETA': 0.0}",-72.8,355.6
58,15,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.27, 'BETA': 0.0}",-72.8,355.6
59,15,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.38, 'BETA': 0.0, 'GAMMA': 0.6}",-72.8,460.6
60,16,no discount,1,"HORIZON,BETA",{'BETA': 0.29},-66.8,238.6
61,16,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.09, 'BETA': 2.0}",-15.9,241.8
62,16,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.26, 'BETA': 2.0}",-22.0,254.0
63,16,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.92, 'BETA': 2.0, 'GAMMA': 1.0}",-15.9,346.8
64,17,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-70.7,246.4
65,17,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.39, 'BETA': 0.0}",-70.7,351.4
66,17,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.28, 'BETA': 0.0}",-70.7,351.4
67,17,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.44, 'BETA': 0.0, 'GAMMA': 0.14}",-70.7,456.4
68,18,no discount,1,"HORIZON,BETA",{'BETA': 0.32},-65.6,236.2
69,18,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.08, 'BETA': 2.0}",-18.5,247.0
70,18,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.24, 'BETA': 2.0}",-23.3,256.6
71,18,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.92, 'BETA': 2.0, 'GAMMA': 1.0}",-18.5,352.0
72,19,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
73,19,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.07, 'BETA': 2.0}",-43.4,296.8
74,19,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.22, 'BETA': 2.0}",-50.9,311.8
75,19,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.94, 'BETA': 2.0, 'GAMMA': 1.0}",-43.4,401.8
76,20,no discount,1,"HORIZON,BETA",{'BETA': 0.32},-70.1,245.2
77,20,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.09, 'BETA': 2.0}",-27.6,265.2
78,20,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.25, 'BETA': 2.0}",-31.5,273.0
79,20,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.92, 'BETA': 2.0, 'GAMMA': 1.0}",-27.6,370.2
80,21,no discount,1,"HORIZON,BETA",{'BETA': 0.29},-66.8,238.6
81,21,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.09, 'BETA': 2.0}",-15.5,241.0
82,21,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.25, 'BETA': 2.0}",-21.7,253.4
83,21,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.92, 'BETA': 2.0, 'GAMMA': 1.0}",-15.5,346.0
84,22,no discount,1,"HORIZON,BETA",{'BETA': 0.14},-81.8,268.6
85,22,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 0.15}",-81.8,373.6
86,22,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 0.14}",-81.8,373.6
87,22,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 1.0, 'BETA': 0.15, 'GAMMA': 1.0}",-81.8,478.6
88,23,no discount,1,"HORIZON,BETA",{'BETA': 0.04},-72.7,250.4
89,23,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.06, 'BETA': 2.0}",-47.5,305.0
90,23,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.18, 'BETA': 2.0}",-52.8,315.6
91,23,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.94, 'BETA': 2.0, 'GAMMA': 1.0}",-47.5,410.0
92,24,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
93,24,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.07, 'BETA': 2.0}",-44.0,298.0
94,24,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.2, 'BETA': 2.0}",-50.5,311.0
95,24,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.94, 'BETA': 2.0, 'GAMMA': 1.0}",-44.0,403.0
96,25,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-80.6,266.2
97,25,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.32, 'BETA': 0.0}",-80.6,371.2
98,25,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.18, 'BETA': 0.0}",-80.6,371.2
99,25,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.4, 'BETA': 0.0, 'GAMMA': 0.44}",-80.6,476.2
100,26,no discount,1,"HORIZON,BETA",{'BETA': 0.09},-72.6,250.2
101,26,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.06, 'BETA': 2.0}",-48.5,307.0
102,26,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.18, 'BETA': 2.0}",-53.3,316.6
103,26,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.94, 'BETA': 2.0, 'GAMMA': 1.0}",-48.5,412.0
104,27,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
105,27,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.41, 'BETA': 0.0}",-72.8,355.6
106,27,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.18, 'BETA': 0.0}",-72.8,355.6
107,27,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.45, 'BETA': 0.06, 'GAMMA': 0.0}",-72.8,460.6
108,28,no discount,1,"HORIZON,BETA",{'BETA': 0.29},-67.4,239.8
109,28,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.1, 'BETA': 2.0}",-19.4,248.8
110,28,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 2.0}",-24.6,259.2
111,28,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.91, 'BETA': 2.0, 'GAMMA': 1.0}",-19.4,353.8
112,29,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
113,29,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.06, 'BETA': 2.0}",-42.4,294.8
114,29,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.2, 'BETA': 2.0}",-50.1,310.2
115,29,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.94, 'BETA': 2.0, 'GAMMA': 1.0}",-42.4,399.8
116,30,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
117,30,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.07, 'BETA': 2.0}",-43.4,296.8
118,30,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.23, 'BETA': 2.0}",-50.5,311.0
119,30,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.93, 'BETA': 2.0, 'GAMMA': 1.0}",-43.4,401.8
