,model,HORIZON,BETA,ll
119,no discount,85.9090909090909,1.0,-3084.95
120,no discount,95.45454545454545,0.0,-2239.77
121,no discount,95.45454545454545,0.09090909090909091,-2225.44
122,no discount,95.45454545454545,0.18181818181818182,-2247.36
123,no discount,95.45454545454545,0.2727272727272727,-2300.75
124,no discount,95.45454545454545,0.36363636363636365,-2379.8
125,no discount,95.45454545454545,0.45454545454545453,-2479.11
126,no discount,95.45454545454545,0.5454545454545454,-2594.39
127,no discount,95.45454545454545,0.6363636363636364,-2722.44
128,no discount,95.45454545454545,0.7272727272727273,-2860.95
129,no discount,95.45454545454545,0.8181818181818182,-2969.93
130,no discount,95.45454545454545,0.9090909090909091,-3057.97
131,no discount,95.45454545454545,1.0,-3152.35
132,no discount,105.0,0.0,-2239.77
133,no discount,105.0,0.09090909090909091,-2226.17
134,no discount,105.0,0.18181818181818182,-2249.15
135,no discount,105.0,0.2727272727272727,-2303.89
136,no discount,105.0,0.36363636363636365,-2384.57
137,no discount,105.0,0.45454545454545453,-2485.76
138,no discount,105.0,0.5454545454545454,-2603.14
139,no discount,105.0,0.6363636363636364,-2733.47
140,no discount,105.0,0.7272727272727273,-2874.41
141,no discount,105.0,0.8181818181818182,-2985.94
142,no discount,105.0,0.9090909090909091,-3076.62
143,no discount,105.0,1.0,-3173.72
